call_id,loan_id,call_date,outcome,agent_notes
CALL0000001,LOAN0002068,2026-10-13,Promise to pay,Disputed amount
CALL0000002,LOAN0001583,2027-01-10,Connected,Customer requested extension
CALL0000003,LOAN0002990,2026-07-17,No answer,Could not reach
CALL0000004,LOAN0000275,2026-05-24,Promise to pay,Customer requested extension
CALL0000005,LOAN0003011,2026-09-11,Connected,Customer requested extension
CALL0000006,LOAN0002284,2026-11-23,No answer,Disputed amount
CALL0000007,LOAN0000891,2026-02-21,No answer,Will pay this week
CALL0000008,LOAN0000963,2025-12-12,Promise to pay,Customer requested extension
CALL0000009,LOAN0003295,2026-07-22,No answer,Could not reach
CALL0000010,LOAN0000910,2026-06-13,No answer,Disputed amount
CALL0000011,LOAN0002926,2026-03-16,Promise to pay,Will pay this week
CALL0000012,LOAN0000205,2026-02-21,Connected,Could not reach
CALL0000013,LOAN0003398,2026-08-11,Connected,Income delayed
CALL0000014,LOAN0000281,2026-09-19,Connected,Disputed amount
CALL0000015,LOAN0000709,2026-07-05,No answer,Could not reach
CALL0000016,LOAN0001442,2026-09-25,No answer,Will pay this week
CALL0000017,LOAN0002654,2025-11-13,Connected,Will pay this week
CALL0000018,LOAN0002161,2026-06-25,Connected,Disputed amount
CALL0000019,LOAN0000302,2026-07-05,No answer,Could not reach
CALL0000020,LOAN0001069,2026-05-07,Connected,Disputed amount
CALL0000021,LOAN0000193,2026-08-03,Promise to pay,Income delayed
CALL0000022,LOAN0000709,2026-06-04,No answer,Will pay this week
CALL0000023,LOAN0002520,2026-02-10,No answer,Disputed amount
CALL0000024,LOAN0002947,2026-04-11,Promise to pay,Disputed amount
CALL0000025,LOAN0001932,2026-12-14,Promise to pay,Disputed amount
CALL0000026,LOAN0003344,2026-05-02,Connected,Customer requested extension
CALL0000027,LOAN0000461,2026-03-15,Connected,Customer requested extension
CALL0000028,LOAN0003359,2025-12-19,Promise to pay,Income delayed
CALL0000029,LOAN0000449,2026-09-12,Promise to pay,Income delayed
CALL0000030,LOAN0003387,2026-03-04,Connected,Will pay this week
CALL0000031,LOAN0000290,2026-03-09,No answer,Customer requested extension
CALL0000032,LOAN0003130,2026-11-13,Promise to pay,Could not reach
