customer_id,state,city,age,employment_type,monthly_income,credit_segment,created_at
CUST000001,Maharashtra,Mumbai,22,Self-employed,62277,Prime,2025-09-15
CUST000002,Gujarat,Surat,56,Salaried,29024,Emerging,2025-06-07
CUST000003,Karnataka,Hubli,61,Salaried,75979,Prime,2025-10-03
CUST000004,Karnataka,Hubli,44,Self-employed,76902,Prime,2025-09-10
CUST000005,Tamil Nadu,Chennai,27,Salaried,66559,Prime,2026-02-05
CUST000006,Karnataka,Bangalore,40,Self-employed,58372,Prime,2026-01-20
CUST000007,Maharashtra,Nagpur,34,Salaried,45898,Emerging,2026-02-25
CUST000008,Tamil Nadu,Coimbatore,31,Salaried,39345,Emerging,2025-12-12
CUST000009,Delhi,Delhi,49,Salaried,66644,Prime,2025-02-14
CUST000010,Karnataka,Bangalore,27,Salaried,45901,Emerging,2025-10-30
CUST000011,Tamil Nadu,Madurai,58,Salaried,41249,Emerging,2025-07-27
CUST000012,Karnataka,Mysore,24,Small business,26313,Emerging,2026-02-22
CUST000013,Telangana,Hyderabad,36,Self-employed,81760,Prime,2025-04-25
CUST000014,Tamil Nadu,Madurai,23,Self-employed,45235,Emerging,2025-06-02
CUST000015,Gujarat,Vadodara,44,Salaried,48111,Emerging,2025-05-04
CUST000016,Delhi,Delhi,27,Salaried,38372,Emerging,2025-12-16
CUST000017,Karnataka,Mysore,27,Salaried,55769,Prime,2025-03-08
CUST000018,Karnataka,Mysore,54,Self-employed,35063,Emerging,2025-06-06
CUST000019,Tamil Nadu,Coimbatore,40,Salaried,52247,Prime,2025-03-08
CUST000020,Maharashtra,Nagpur,22,Salaried,37331,Emerging,2025-08-28
CUST000021,Maharashtra,Pune,47,Salaried,64289,Prime,2025-04-05
CUST000022,Delhi,Delhi,23,Salaried,55556,Prime,2025-06-17
CUST000023,Maharashtra,Pune,35,Self-employed,41980,Emerging,2025-04-14
CUST000024,Maharashtra,Mumbai,51,Salaried,59645,Prime,2025-04-06
CUST000025,Karnataka,Mysore,47,Small business,12000,Mass,2026-01-08
CUST000026,Telangana,Hyderabad,58,Small business,37683,Emerging,2026-03-03
CUST000027,Maharashtra,Nagpur,21,Gig worker,18348,Mass,2025-11-29
CUST000028,Delhi,Delhi,52,Small business,36700,Emerging,2025-05-16
CUST000029,Gujarat,Vadodara,28,Salaried,45478,Emerging,2025-12-23
CUST000030,Telangana,Warangal,44,Gig worker,12000,Mass,2025-07-29
CUST000031,Maharashtra,Mumbai,34,Self-employed,89914,Prime,2025-06-11
CUST000032,Maharashtra,Mumbai,38,Gig worker,41056,Emerging,2026-01-05
CUST000033,Gujarat,Surat,44,Self-employed,63389,Prime,2025-12-01
CUST000034,Telangana,Warangal,21,Self-employed,57460,Prime,2025-02-20
CUST000035,Karnataka,Bangalore,56,Gig worker,33447,Emerging,2025-07-04
CUST000036,Maharashtra,Pune,52,Self-employed,60711,Prime,2026-01-08
CUST000037,Karnataka,Mysore,30,Self-employed,84505,Prime,2025-07-01
CUST000038,Karnataka,Hubli,57,Salaried,112513,Affluent,2026-03-02
CUST000039,Telangana,Warangal,22,Self-employed,69288,Prime,2025-10-15
CUST000040,Karnataka,Bangalore,41,Salaried,44486,Emerging,2025-09-18
CUST000041,Maharashtra,Pune,29,Salaried,49697,Emerging,2025-11-18
CUST000042,Karnataka,Mysore,32,Salaried,72558,Prime,2025-07-08
CUST000043,Karnataka,Mysore,45,Self-employed,64829,Prime,2026-04-15
CUST000044,Maharashtra,Mumbai,44,Gig worker,25665,Emerging,2025-07-31
CUST000045,Maharashtra,Pune,35,Salaried,51797,Prime,2025-01-05
CUST000046,Maharashtra,Pune,34,Salaried,71037,Prime,2025-09-06
CUST000047,Telangana,Warangal,30,Salaried,27634,Emerging,2025-02-13
CUST000048,Telangana,Warangal,24,Self-employed,73742,Prime,2025-07-23
CUST000049,Maharashtra,Pune,58,Salaried,67255,Prime,2025-01-09
CUST000050,Maharashtra,Nagpur,50,Self-employed,60960,Prime,2025-04-05
CUST000051,Karnataka,Bangalore,29,Gig worker,27948,Emerging,2025-03-02
CUST000052,Karnataka,Bangalore,27,Salaried,34610,Emerging,2025-03-15
CUST000053,Delhi,Delhi,28,Small business,22569,Mass,2025-06-23
CUST000054,Delhi,Delhi,24,Self-employed,79084,Prime,2025-08-24
CUST000055,Karnataka,Mysore,60,Self-employed,54146,Prime,2025-07-03
CUST000056,Tamil Nadu,Coimbatore,32,Salaried,34744,Emerging,2025-11-08
CUST000057,Karnataka,Bangalore,33,Self-employed,68804,Prime,2025-03-11
CUST000058,Karnataka,Hubli,40,Salaried,40344,Emerging,2025-01-01
CUST000059,Delhi,Delhi,34,Salaried,52267,Prime,2025-03-13
CUST000060,Tamil Nadu,Madurai,32,Gig worker,23880,Mass,2025-09-22
CUST000061,Tamil Nadu,Madurai,34,Self-employed,65077,Prime,2025-11-01
CUST000062,Karnataka,Hubli,43,Small business,41175,Emerging,2025-11-24
CUST000063,Maharashtra,Mumbai,35,Salaried,52654,Prime,2025-07-01
CUST000064,Maharashtra,Pune,27,Salaried,80301,Prime,2025-08-29
CUST000065,Telangana,Hyderabad,32,Small business,57323,Prime,2025-04-21
CUST000066,Telangana,Warangal,53,Salaried,31298,Emerging,2025-07-02
CUST000067,Maharashtra,Pune,59,Gig worker,24849,Mass,2025-01-14
CUST000068,Delhi,Delhi,47,Salaried,36994,Emerging,2026-02-18
CUST000069,Karnataka,Bangalore,49,Small business,68815,Prime,2025-05-26
CUST000070,Karnataka,Hubli,51,Salaried,47865,Emerging,2026-04-20
CUST000071,Karnataka,Hubli,59,Salaried,43231,Emerging,2025-12-01
CUST000072,Telangana,Warangal,50,Salaried,76949,Prime,2025-10-05
CUST000073,Karnataka,Hubli,46,Small business,26134,Emerging,2026-04-27
CUST000074,Telangana,Hyderabad,28,Self-employed,113630,Affluent,2025-11-01
CUST000075,Tamil Nadu,Coimbatore,30,Self-employed,78855,Prime,2026-04-21
CUST000076,Delhi,Delhi,35,Salaried,66501,Prime,2026-02-15
CUST000077,Tamil Nadu,Coimbatore,30,Self-employed,25428,Emerging,2025-07-18
CUST000078,Maharashtra,Mumbai,53,Gig worker,12592,Mass,2025-01-27
CUST000079,Karnataka,Bangalore,53,Salaried,76035,Prime,2025-05-11
CUST000080,Tamil Nadu,Coimbatore,32,Self-employed,61299,Prime,2026-02-14
CUST000081,Karnataka,Hubli,31,Salaried,53084,Prime,2025-12-23
CUST000082,Karnataka,Bangalore,21,Gig worker,38873,Emerging,2025-05-26
CUST000083,Telangana,Warangal,24,Self-employed,69219,Prime,2025-03-26
CUST000084,Gujarat,Vadodara,38,Gig worker,43706,Emerging,2025-11-15
CUST000085,Maharashtra,Nagpur,21,Salaried,65554,Prime,2025-04-09
CUST000086,Delhi,Delhi,39,Self-employed,62555,Prime,2025-01-09
CUST000087,Tamil Nadu,Coimbatore,53,Salaried,38237,Emerging,2025-09-12
CUST000088,Telangana,Warangal,34,Small business,43258,Emerging,2025-03-31
CUST000089,Tamil Nadu,Madurai,50,Salaried,47697,Emerging,2025-07-30
CUST000090,Gujarat,Surat,33,Salaried,50771,Prime,2025-05-14
CUST000091,Karnataka,Bangalore,31,Salaried,61272,Prime,2026-01-09
CUST000092,Maharashtra,Mumbai,22,Self-employed,83314,Prime,2025-05-02
CUST000093,Gujarat,Vadodara,34,Small business,46567,Emerging,2025-02-08
CUST000094,Maharashtra,Mumbai,40,Gig worker,61848,Prime,2025-04-12
CUST000095,Delhi,Delhi,47,Small business,32917,Emerging,2026-02-28
CUST000096,Maharashtra,Pune,58,Salaried,39485,Emerging,2025-06-24
CUST000097,Gujarat,Vadodara,50,Small business,42200,Emerging,2025-04-29
