loan_id,app_id,customer_id,disbursed_date,principal,tenure_months,interest_rate,risk_score
LOAN0000001,APP0000001,CUST000176,2026-02-20,152000,9,13.15,134.0
LOAN0000002,APP0000002,CUST001221,2026-06-06,55000,12,19.64,264.5
LOAN0000003,APP0000003,CUST000538,2025-12-04,117000,12,14.24,140.6
LOAN0000004,APP0000007,CUST001640,2025-11-22,99000,18,20.29,319.9
LOAN0000005,APP0000009,CUST000346,2026-04-15,85000,12,19.25,294.7
LOAN0000006,APP0000011,CUST000905,2026-04-27,53000,18,20.16,330.2
LOAN0000007,APP0000012,CUST002023,2025-08-20,80000,18,16.19,190.5
LOAN0000008,APP0000015,CUST001920,2026-03-27,34000,24,13.24,110.4
LOAN0000009,APP0000018,CUST002299,2026-04-14,156000,24,20.94,315.7
LOAN0000010,APP0000022,CUST000764,2025-09-05,80000,12,17.21,213.5
LOAN0000011,APP0000024,CUST000313,2026-06-28,71000,6,19.93,280.2
LOAN0000012,APP0000026,CUST001487,2026-06-21,65000,36,17.11,252.5
LOAN0000013,APP0000030,CUST000945,2026-03-09,38000,36,16.38,229.3
LOAN0000014,APP0000032,CUST001729,2026-05-12,155000,24,16.5,205.6
LOAN0000015,APP0000035,CUST001374,2026-04-16,171000,6,17.71,165.7
LOAN0000016,APP0000036,CUST000765,2025-07-06,187000,18,16.15,197.3
LOAN0000017,APP0000042,CUST001176,2026-03-15,55000,24,20.29,265.6
LOAN0000018,APP0000045,CUST001249,2026-06-28,83000,12,17.79,260.2
LOAN0000019,APP0000046,CUST001686,2025-08-20,47000,18,15.18,58.4
LOAN0000020,APP0000049,CUST001244,2026-03-07,150000,6,16.91,184.4
LOAN0000021,APP0000050,CUST000482,2026-04-22,148000,18,17.88,189.1
LOAN0000022,APP0000051,CUST001044,2026-05-15,66000,12,16.88,265.2
LOAN0000023,APP0000052,CUST000788,2026-01-28,108000,6,18.96,281.4
LOAN0000024,APP0000053,CUST000034,2025-08-11,71000,18,15.63,199.9
LOAN0000025,APP0000055,CUST001866,2026-05-14,27000,6,20.08,275.7
LOAN0000026,APP0000056,CUST000990,2025-08-24,88000,18,20.0,266.2
LOAN0000027,APP0000058,CUST001920,2025-12-26,92000,36,14.16,154.6
LOAN0000028,APP0000059,CUST001440,2026-04-14,221000,12,16.19,202.3
LOAN0000029,APP0000061,CUST001108,2026-03-29,82000,24,14.92,179.8
LOAN0000030,APP0000062,CUST000403,2025-09-21,102000,9,18.98,272.8
LOAN0000031,APP0000067,CUST000048,2026-04-14,18000,12,19.69,277.0
LOAN0000032,APP0000070,CUST002156,2026-05-20,49000,9,16.93,179.6
LOAN0000033,APP0000072,CUST000845,2026-04-29,157000,18,19.4,329.6
LOAN0000034,APP0000073,CUST001860,2025-09-30,86000,24,14.22,112.1
LOAN0000035,APP0000074,CUST000623,2026-01-24,89000,24,17.59,233.5
LOAN0000036,APP0000077,CUST000277,2026-06-14,145000,12,18.34,239.7
LOAN0000037,APP0000084,CUST002309,2026-04-15,39000,18,18.88,276.8
LOAN0000038,APP0000088,CUST000974,2026-04-25,46000,18,17.76,186.3
LOAN0000039,APP0000090,CUST000040,2025-10-11,75000,24,19.51,338.2
LOAN0000040,APP0000092,CUST001933,2025-10-11,49000,12,17.31,188.6
LOAN0000041,APP0000095,CUST000679,2025-10-23,134000,36,16.49,132.1
LOAN0000042,APP0000097,CUST000045,2026-03-04,42000,6,17.01,244.1
LOAN0000043,APP0000098,CUST000648,2025-07-17,170000,36,17.69,302.8
LOAN0000044,APP0000100,CUST000496,2025-11-26,127000,18,18.15,224.0
LOAN0000045,APP0000103,CUST001002,2026-01-17,119000,18,15.25,210.4
LOAN0000046,APP0000104,CUST000170,2026-02-11,15000,18,17.91,297.4
LOAN0000047,APP0000106,CUST002331,2025-12-08,77000,12,18.78,276.9
LOAN0000048,APP0000107,CUST001857,2025-12-11,89000,24,20.3,319.6
LOAN0000049,APP0000108,CUST002239,2026-06-29,57000,24,17.56,248.5
LOAN0000050,APP0000109,CUST000727,2026-03-31,54000,12,15.64,204.1
LOAN0000051,APP0000113,CUST000444,2025-07-23,44000,9,17.96,242.9
LOAN0000052,APP0000114,CUST000107,2026-02-27,80000,18,16.84,201.6
LOAN0000053,APP0000116,CUST001374,2026-04-15,72000,9,16.83,192.5
LOAN0000054,APP0000119,CUST000050,2026-04-14,14000,24,15.78,112.1
LOAN0000055,APP0000120,CUST001463,2025-08-12,30000,24,18.07,259.7
