app_id,customer_id,application_date,product,requested_amount,tenure_months,channel,approval_status,rejection_reason,approved_amount,interest_rate,risk_score
APP0000001,CUST000176,2026-02-14,Personal Loan,167000,9,Referral,Approved,,152000,13.15,134.0
APP0000002,CUST001221,2026-06-02,Personal Loan,64000,12,App,Approved,,55000,19.64,264.5
APP0000003,CUST000538,2025-12-02,Personal Loan,129000,12,Referral,Approved,,117000,14.24,140.6
APP0000004,CUST001604,2025-08-02,Merchant Loan,233000,12,App,Rejected,High recent enquiries,0,0.0,467.0
APP0000005,CUST000212,2025-08-26,Two Wheeler Loan,98000,9,Partner,Rejected,Affordability policy,0,0.0,311.7
APP0000006,CUST000920,2025-12-15,Two Wheeler Loan,79000,24,App,Rejected,Low bureau score,0,0.0,546.5
APP0000007,CUST001640,2025-11-19,Personal Loan,120000,18,App,Approved,,99000,20.29,319.9
APP0000008,CUST001373,2026-04-11,Consumer Durable Loan,50000,36,Referral,Rejected,Affordability policy,0,0.0,288.4
APP0000009,CUST000346,2026-04-14,Two Wheeler Loan,89000,12,App,Approved,,85000,19.25,294.7
APP0000010,CUST000367,2025-10-10,Two Wheeler Loan,95000,18,App,Rejected,Affordability policy,0,0.0,320.8
APP0000011,CUST000905,2026-04-25,Two Wheeler Loan,56000,18,App,Approved,,53000,20.16,330.2
APP0000012,CUST002023,2025-08-16,Two Wheeler Loan,96000,18,Partner,Approved,,80000,16.19,190.5
APP0000013,CUST001093,2026-03-17,Personal Loan,132000,24,App,Rejected,Recent delinquency,0,0.0,395.8
APP0000014,CUST001457,2026-04-26,Personal Loan,109000,18,Partner,Rejected,Affordability policy,0,0.0,243.9
APP0000015,CUST001920,2026-03-26,Personal Loan,35000,24,App,Approved,,34000,13.24,110.4
APP0000016,CUST000392,2025-12-08,Two Wheeler Loan,93000,24,App,Rejected,Affordability policy,0,0.0,189.6
APP0000017,CUST001100,2025-07-24,Personal Loan,144000,24,App,Rejected,Low bureau score,0,0.0,605.1
APP0000018,CUST002299,2026-04-13,Personal Loan,161000,24,App,Approved,,156000,20.94,315.7
APP0000019,CUST001350,2025-10-18,Personal Loan,112000,18,Partner,Rejected,High recent enquiries,0,0.0,316.5
APP0000020,CUST001177,2026-01-08,Two Wheeler Loan,10000,12,App,Rejected,Affordability policy,0,0.0,199.3
APP0000021,CUST000184,2026-03-23,Personal Loan,146000,6,Branch,Rejected,Policy score cutoff,0,0.0,343.4
APP0000022,CUST000764,2025-09-02,Personal Loan,100000,12,Branch,Approved,,80000,17.21,213.5
APP0000023,CUST000291,2026-02-14,Personal Loan,81000,12,App,Rejected,Affordability policy,0,0.0,238.9
APP0000024,CUST000313,2026-06-27,Personal Loan,94000,6,App,Approved,,71000,19.93,280.2
APP0000025,CUST002250,2025-07-16,Personal Loan,120000,6,App,Rejected,Affordability policy,0,0.0,306.0
