loan_id,due_date,paid_date,mob,due_amount,paid_amount,dpd
LOAN0000001,2026-03-01,2026-02-28,1,17073.96,17073.96,0
LOAN0000001,2026-04-01,2026-03-31,2,17073.96,17073.96,0
LOAN0000001,2026-05-01,2026-04-29,3,17073.96,17073.96,0
LOAN0000001,2026-06-01,2026-05-31,4,17073.96,17073.96,0
LOAN0000001,2026-07-01,2026-07-06,5,17073.96,13585.75,5
LOAN0000001,2026-08-01,2026-08-01,6,17073.96,,0
LOAN0000001,2026-09-01,2026-08-30,7,17073.96,17073.96,0
LOAN0000001,2026-10-01,2026-09-29,8,17073.96,17073.96,0
LOAN0000002,2026-07-01,2026-07-26,1,4658.35,3762.44,25
LOAN0000002,2026-08-01,2026-07-30,2,4658.35,4658.35,0
LOAN0000002,2026-09-01,2026-09-01,3,4658.35,4658.35,0
LOAN0000002,2026-10-01,2026-09-30,4,4658.35,4658.35,0
LOAN0000002,2026-11-01,2026-11-01,5,4658.35,4658.35,0
LOAN0000002,2026-12-01,2026-12-01,6,4658.35,4658.35,0
LOAN0000002,2027-01-01,2027-01-01,7,4658.35,4658.35,0
LOAN0000002,2027-02-01,2027-01-30,8,4658.35,4658.35,0
LOAN0000003,2026-01-01,2025-12-30,1,9865.7,9865.7,0
LOAN0000003,2026-02-01,2026-01-30,2,9865.7,9865.7,0
LOAN0000003,2026-03-01,2026-02-27,3,9865.7,9865.7,0
LOAN0000003,2026-04-01,2026-03-31,4,9865.7,9865.7,0
LOAN0000003,2026-05-01,2026-05-01,5,9865.7,9865.7,0
LOAN0000003,2026-06-01,2026-05-30,6,9865.7,9865.7,0
LOAN0000003,2026-07-01,2026-07-01,7,9865.7,9865.7,0
LOAN0000003,2026-08-01,2026-07-30,8,9865.7,9865.7,0
LOAN0000004,2025-12-01,2025-12-01,1,5593.0,5593.0,0
LOAN0000004,2026-01-01,2025-12-31,2,5593.0,5593.0,0
LOAN0000004,2026-02-01,2026-02-01,3,5593.0,5593.0,0
LOAN0000004,2026-03-01,2026-03-01,4,5593.0,5593.0,0
LOAN0000004,2026-04-01,2026-03-30,5,5593.0,5593.0,0
LOAN0000004,2026-05-01,2026-05-06,6,5593.0,5147.55,5
LOAN0000004,2026-06-01,2026-05-31,7,5593.0,5593.0,0
LOAN0000004,2026-07-01,2026-06-29,8,5593.0,5593.0,0
LOAN0000005,2026-05-01,2026-04-30,1,7196.96,7196.96,0
LOAN0000005,2026-06-01,2026-06-01,2,7196.96,7196.96,0
LOAN0000005,2026-07-01,2026-07-01,3,7196.96,7196.96,0
LOAN0000005,2026-08-01,2026-07-30,4,7196.96,7196.96,0
LOAN0000005,2026-09-01,2026-08-30,5,7196.96,7196.96,0
LOAN0000005,2026-10-01,2026-09-29,6,7196.96,7196.96,0
LOAN0000005,2026-11-01,2026-11-01,7,7196.96,7196.96,0
LOAN0000005,2026-12-01,2026-11-29,8,7196.96,7196.96,0
LOAN0000006,2026-05-01,2026-04-30,1,2993.91,2993.91,0
LOAN0000006,2026-06-01,2026-06-01,2,2993.91,2993.91,0
LOAN0000006,2026-07-01,2026-06-29,3,2993.91,2993.91,0
LOAN0000006,2026-08-01,2026-07-30,4,2993.91,2993.91,0
LOAN0000006,2026-09-01,2026-08-31,5,2993.91,2993.91,0
LOAN0000006,2026-10-01,2026-10-01,6,2993.91,2993.91,0
LOAN0000006,2026-11-01,2026-10-30,7,2993.91,2993.91,0
LOAN0000006,2026-12-01,2026-12-01,8,2993.91,2993.91,0
LOAN0000007,2025-09-01,2025-08-31,1,4504.41,4504.41,0
LOAN0000007,2025-10-01,2025-09-30,2,4504.41,4504.41,0
LOAN0000007,2025-11-01,2025-10-31,3,4504.41,4504.41,0
LOAN0000007,2025-12-01,2025-11-30,4,4504.41,4504.41,0
LOAN0000007,2026-01-01,2025-12-30,5,4504.41,4504.41,0
LOAN0000007,2026-02-01,2026-02-01,6,4504.41,4504.41,0
LOAN0000007,2026-03-01,2026-02-27,7,4504.41,4504.41,0
LOAN0000007,2026-04-01,2026-03-31,8,4504.41,4504.41,0
LOAN0000008,2026-04-01,2026-03-30,1,1432.3,1432.3,0
LOAN0000008,2026-05-01,2026-05-26,2,1432.3,1247.96,25
LOAN0000008,2026-06-01,2026-05-30,3,1432.3,1432.3,0
LOAN0000008,2026-07-01,2026-06-30,4,1432.3,1432.3,0
LOAN0000008,2026-08-01,2026-08-01,5,1432.3,1432.3,0
LOAN0000008,2026-09-01,2026-08-31,6,1432.3,1432.3,0
LOAN0000008,2026-10-01,2026-09-29,7,1432.3,1432.3,0
LOAN0000008,2026-11-01,2026-10-30,8,1432.3,1432.3,0
LOAN0000009,2026-05-01,2026-05-01,1,6613.43,6613.43,0
LOAN0000009,2026-06-01,2026-06-01,2,6613.43,6613.43,0
LOAN0000009,2026-07-01,2026-06-30,3,6613.43,6613.43,0
LOAN0000009,2026-08-01,2026-07-30,4,6613.43,6613.43,0
LOAN0000009,2026-09-01,2026-09-01,5,6613.43,6613.43,0
LOAN0000009,2026-10-01,2026-10-01,6,6613.43,6613.43,0
LOAN0000009,2026-11-01,2026-10-31,7,6613.43,6613.43,0
LOAN0000009,2026-12-01,2026-11-29,8,6613.43,6613.43,0
LOAN0000010,2025-10-01,2025-09-29,1,6762.28,6762.28,0
LOAN0000010,2025-11-01,2025-11-01,2,6762.28,6762.28,0
LOAN0000010,2025-12-01,2025-12-01,3,6762.28,6762.28,0
LOAN0000010,2026-01-01,2026-01-01,4,6762.28,6762.28,0
LOAN0000010,2026-02-01,2026-02-01,5,6762.28,6762.28,0
LOAN0000010,2026-03-01,2026-02-28,6,6762.28,6762.28,0
LOAN0000010,2026-04-01,2026-04-01,7,6762.28,6762.28,0
LOAN0000010,2026-05-01,2026-04-30,8,6762.28,6762.28,0
LOAN0000011,2026-07-01,2026-07-01,1,12029.87,12029.87,0
LOAN0000011,2026-08-01,2026-07-30,2,12029.87,12029.87,0
